"Upit","Naslov oglasa","Grad","Sobe","Površina (m²)","Cijena","Poveznica","Ocjena A (0-3)","Ocjena B (0-3)","id (ne mijenjaj)"
"a bright quiet apartment near a park","Split, Brda, studio apartment","Split, Brda","1","40","500 €","http://localhost:3000/listings/oglasnik-3640910","1","1","oglasnik-3640910"
"a bright quiet apartment near a park","Apartment: Split, 25.00 m2 (for rent)","Split, Spinut","1","25","500 €","http://localhost:3000/listings/njuskalo-51071565","2","2","njuskalo-51071565"
"a bright quiet apartment near a park","Apartment: Donja Stubica, 84.00 m2, new construction - modern luxury apartment (for rent)","Donja Stubica, Donja Stubica","2","105","999 €","http://localhost:3000/listings/njuskalo-51219589","2","1","njuskalo-51219589"
"a bright quiet apartment near a park","CENTER 45m², Slovenska (beautiful 2-bedroom apartment + garage) (for rent)","Zagreb, Gornji Grad - Medveščak","2","45","800 €","http://localhost:3000/listings/njuskalo-51225261","1","1","njuskalo-51225261"
"a bright quiet apartment near a park","TREŠNJEVKA - NOVA CESTA, BEAUTIFUL 2-BEDROOM APARTMENT WITH GARDEN AND PARKING","","2","70","900 €/mjesec","http://localhost:3000/listings/index-7500041","2","2","index-7500041"
"a bright quiet apartment near a park","JARUN: BEAUTIFUL 2-BEDROOM APARTMENT + PARKING (for rent)","Zagreb, Trešnjevka - Jug","2","48","800 €","http://localhost:3000/listings/njuskalo-51225281","2","2","njuskalo-51225281"
"a modern renovated flat in the city center","Bright and Renovated Apartment: Zagreb (Siget), Aleja pomoraca, 46.00 m2 (for sale)","Zagreb, Novi Zagreb","1","44","197.500 €","http://localhost:3000/listings/njuskalo-50713646","2","1","njuskalo-50713646"
"a modern renovated flat in the city center","Apartment in Vukovar Center (for sale)","Vukovar, Centar","2","52","155.000 €","http://localhost:3000/listings/njuskalo-51106015","2","2","njuskalo-51106015"
"a modern renovated flat in the city center","LOVRAN - Completely Renovated Apartment 47.5 m², 2 Bedrooms + Gallery (For Sale)","Lovran, Lovran","2","55","215.000 €","http://localhost:3000/listings/njuskalo-50886097","3","2","njuskalo-50886097"
"a modern renovated flat in the city center","Apartment FOR SALE NEW BUILD Varaždin (center)","Varaždin, Centar","4","107","372.890 €","http://localhost:3000/listings/oglasnik-7038537","3","2","oglasnik-7038537"
"a modern renovated flat in the city center","Gundulićeva Street – A Blend of Privacy and Urban Energy (For Sale)","Zagreb, Donji Grad","3","110","340.000 €","http://localhost:3000/listings/njuskalo-50178910","2","1","njuskalo-50178910"
"a modern renovated flat in the city center","Apartment FOR SALE NEW BUILD Varaždin (center)","Varaždin, Centar","4","105","366.065 €","http://localhost:3000/listings/oglasnik-7038538","3","2","oglasnik-7038538"
"a family-friendly apartment close to schools and shops","Excellent Opportunity, Cozy Apartment in a Great Location!","Zagreb, Trešnjevka - Sjever","3","95","800 €","http://localhost:3000/listings/oglasnik-7091578","2","2","oglasnik-7091578"
"a family-friendly apartment close to schools and shops","Apartment: Donja Stubica, 84.00 m2, new construction - modern luxury apartment (for rent)","Donja Stubica, Donja Stubica","2","105","999 €","http://localhost:3000/listings/njuskalo-51219589","2","3","njuskalo-51219589"
"a family-friendly apartment close to schools and shops","Apartment: Zagreb Ozaljska Street, 56 m² - Prime Location! (for rent)","Zagreb, Trešnjevka - Sjever","2","56","600 €","http://localhost:3000/listings/oglasnik-7091584","2","1","oglasnik-7091584"
"a family-friendly apartment close to schools and shops","Apartment Sopot - For Rent","Zagreb, Novi Zagreb","3","56","550 €","http://localhost:3000/listings/oglasnik-7091613","2","2","oglasnik-7091613"
"a family-friendly apartment close to schools and shops","Family Apartment - Poreč Center","Poreč, Poreč","2","48","950 €","http://localhost:3000/listings/oglasnik-7067822","1","2","oglasnik-7067822"
"a family-friendly apartment close to schools and shops","Family Apartment - Poreč Center","Poreč, Poreč","0","35","800 €","http://localhost:3000/listings/oglasnik-7067823","1","1","oglasnik-7067823"
"a cozy apartment with a nice view","One-Bedroom Apartment (S5) with a View, 46.39 m2 Ljoljinica, Rogoznica (for sale)","Rogoznica, Ražanj","2","46","185.000 €","http://localhost:3000/listings/njuskalo-51225282","2","2","njuskalo-51225282"
"a cozy apartment with a nice view","Zagreb, Podsljeme- Vrhovec, 3-Bedroom Apartment 74 m2 with a Beautiful View, 1 Parking Space","Zagreb, Črnomerec","3","74","330.000 €","http://localhost:3000/listings/oglasnik-7090441","2","2","oglasnik-7090441"
"a cozy apartment with a nice view","FOR SALE, APARTMENT, ZAGREB, GAJNICE, 67m2, 3-ROOM","Zagreb, Podsused - Vrapče","3","67","349.000 €","http://localhost:3000/listings/njuskalo-51231345","2","2","njuskalo-51231345"
"a cozy apartment with a nice view","Bright and Renovated Apartment: Zagreb (Siget), Aleja pomoraca, 46.00 m2 (for sale)","Zagreb, Novi Zagreb","1","44","197.500 €","http://localhost:3000/listings/njuskalo-50713646","2","3","njuskalo-50713646"
"a cozy apartment with a nice view","OPATIJA, Two-Story Apartment with Garage (For Sale)","Opatija, Opatija - Centar","3","85","385.000 €","http://localhost:3000/listings/njuskalo-51094178","2","3","njuskalo-51094178"
"a cozy apartment with a nice view","Split, Mertojak - Spacious Family Apartment with Three Bedrooms and a View (For Sale)","Split, Mertojak","4","83","380.000 €","http://localhost:3000/listings/njuskalo-50836829","2","2","njuskalo-50836829"
"svijetao miran stan blizu parka","TREŠNJEVKA - NOVA CESTA, BEAUTIFUL 2-BEDROOM APARTMENT WITH GARDEN AND PARKING","","2","70","900 €/mjesec","http://localhost:3000/listings/index-7500041","2","2","index-7500041"
"svijetao miran stan blizu parka","Luxury Three-Bedroom Apartment | 87 m2 | Terrace | 2 Parking Spaces | Storage 10 m2 (For Rent)","Zagreb, Peščenica - Žitnjak","3","87","1.400 €","http://localhost:3000/listings/njuskalo-51102812","2","1","njuskalo-51102812"
"svijetao miran stan blizu parka","Zadar, center, 40 m2, Stanovi neighborhood - near Višnjik","Zadar, Stanovi","1","40","650 €","http://localhost:3000/listings/oglasnik-7091583","1","2","oglasnik-7091583"
"svijetao miran stan blizu parka","1-Bedroom Apartment in Sveta Klara, 39.87m2","","1","40","600 €/mjesec","http://localhost:3000/listings/index-7486331","1","2","index-7486331"
